City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Albania,AL,41.0,20.0,54.79,50,1,2.98,clear sky
316,Steamboat Springs,US,40.485,-106.8317,78.73,18,1,4.61,clear sky
317,Bossangoa,CF,6.4926,17.4552,69.44,97,73,3.06,light rain
318,Sembe,CG,1.6481,14.5806,69.12,97,73,1.97,light rain
319,Cidreira,BR,-30.1811,-50.2056,64.72,95,2,7.99,clear sky
320,Kudahuvadhoo,MV,2.6708,72.8944,82.18,68,100,19.53,overcast clouds
321,Zhigansk,RU,66.7697,123.3711,34.88,77,71,21.63,broken clouds
322,Hosakote,IN,14.2769,77.1699,72.36,82,100,13.91,moderate rain
323,Mangai,CD,-4.05,19.5333,70.97,93,100,1.23,light rain
324,Krasnyy Yar,RU,46.5331,48.3456,55.33,71,79,17.58,broken clouds
325,Codrington,AU,-38.2667,141.9667,58.62,60,76,10.96,broken clouds
326,Acari,PE,-15.4311,-74.6158,66.54,74,27,4.36,scattered clouds
327,Bridlington,GB,54.0831,-0.1919,62.78,81,79,15.5,broken clouds
328,Nkayi,CG,-4.1841,13.2884,77.45,77,100,2.66,overcast clouds
329,Verkh-Usugli,RU,52.7,115.1667,36.86,72,14,10.63,few clouds
330,Chapais,CA,49.7834,-74.8492,49.78,89,99,4.12,overcast clouds
331,Chemainus,CA,48.9163,-123.7194,56.86,96,100,7.61,moderate rain
332,Beringovskiy,RU,63.05,179.3167,36.86,87,97,1.32,overcast clouds
333,Gweta,BW,-20.1833,25.2333,66.06,19,0,8.25,clear sky
334,Parrita,CR,9.5201,-84.3225,83.07,96,100,3.38,overcast clouds
335,Natal,BR,-5.795,-35.2094,77.04,80,24,14.05,few clouds
336,Loubomo,CG,-4.1997,12.6739,72.93,87,99,3.49,overcast clouds
337,Gardabani,GE,41.4605,45.0928,53.69,78,0,5.88,clear sky
338,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,87,90,10.36,overcast clouds
339,Pontes E Lacerda,BR,-15.2261,-59.3353,77.43,68,54,2.91,broken clouds
340,Maple Creek,CA,49.9168,-109.4848,81.64,17,31,17.45,scattered clouds
341,Teahupoo,PF,-17.8333,-149.2667,78.76,78,16,14.58,few clouds
342,Deputatskiy,RU,69.3,139.9,28.54,84,100,9.93,light snow
343,Nelson Bay,AU,-32.7167,152.15,67.08,53,14,1.99,few clouds
344,Staryy Nadym,RU,65.6118,72.6842,32.45,80,1,4.41,clear sky
345,Hamilton,US,39.1834,-84.5333,68.76,58,1,4.61,clear sky
346,Mackay,AU,-21.15,149.2,78.04,67,16,15.46,few clouds
347,Nantucket,US,41.2835,-70.0995,66.96,61,6,22.95,clear sky
348,Kihurio,TZ,-4.4667,38.0667,65.79,84,43,1.21,scattered clouds
349,Kalmunai,LK,7.4167,81.8167,79.25,78,100,6.11,overcast clouds
350,Khvorostyanka,RU,52.6096,48.9597,51.21,89,100,6.67,light rain
351,Adeje,ES,28.1227,-16.726,75.74,60,20,17.27,few clouds
352,Dalvik,IS,65.9702,-18.5286,36.82,98,100,14.54,overcast clouds
353,Bratsk,RU,56.1325,101.6142,27.09,92,77,6.85,broken clouds
354,Ekibastuz,KZ,51.6667,75.3667,34.47,59,91,14.09,overcast clouds
355,San Jeronimo,PE,-11.9472,-75.2829,54.18,67,73,5.39,broken clouds
356,Benjamin Constant,BR,-4.3831,-70.0311,78.85,89,0,2.3,clear sky
357,Katherine,AU,-14.4667,132.2667,84.52,58,77,8.05,broken clouds
358,Cortez,US,37.3489,-108.5859,66.96,42,1,3.44,clear sky
359,Batemans Bay,AU,-35.7167,150.1833,63.19,45,68,7.14,broken clouds
360,Antofagasta,CL,-23.65,-70.4,56.48,84,45,4.03,scattered clouds
361,Bonnyville,CA,54.2668,-110.735,69.21,38,100,11.25,overcast clouds
362,Seymchan,RU,62.8833,152.4333,37.09,61,43,3.96,scattered clouds
363,Aketi,CD,2.7388,23.7833,67.55,99,99,1.52,overcast clouds
364,Yulara,AU,-25.2406,130.9889,79.34,16,86,11.43,overcast clouds
365,Onguday,RU,50.75,86.15,20.44,95,29,1.57,scattered clouds
366,Cayenne,GF,4.9333,-52.3333,83.08,77,47,3.0,scattered clouds
367,Alpatovo,RU,43.7028,45.2415,54.37,60,0,5.73,clear sky
368,Hervey Bay,AU,-25.2986,152.8535,72.01,66,86,21.05,overcast clouds
369,Rybnoye,RU,54.7256,39.5119,47.7,92,100,12.71,overcast clouds
370,Mildura,AU,-34.2,142.15,68.07,29,75,5.75,broken clouds
371,Orbetello,IT,42.4408,11.2196,75.61,93,72,13.02,broken clouds
372,Riberalta,BO,-10.9833,-66.1,84.2,51,87,1.74,overcast clouds
373,College,US,64.8569,-147.8028,36.59,73,75,3.44,broken clouds
374,Apollonia,GR,36.9716,24.7231,71.91,73,0,13.35,clear sky
375,Praia,CV,14.9215,-23.5087,78.64,80,38,7.99,scattered clouds
376,Byron Bay,AU,-28.65,153.6167,67.05,61,98,9.98,overcast clouds
377,Gabu,GW,12.2833,-14.2167,77.92,86,100,0.58,overcast clouds
378,Imbituba,BR,-28.24,-48.6703,70.83,94,1,8.5,clear sky
379,Tabou,CI,4.423,-7.3528,74.95,88,100,1.5,light rain
380,Catamarca,AR,-28.4696,-65.7852,73.49,34,0,1.41,clear sky
381,Asau,RO,46.4333,26.4,56.32,87,0,1.81,light rain
382,Mananjary,MG,-21.2167,48.3333,66.15,88,26,2.46,light rain
383,Champerico,GT,14.3,-91.9167,85.35,76,86,0.83,overcast clouds
384,Broome,US,42.2506,-75.833,59.58,66,90,5.75,overcast clouds
385,Mbabane,SZ,-26.3167,31.1333,55.71,70,0,2.28,clear sky
386,Samarai,PG,-10.6167,150.6667,79.48,86,84,12.21,broken clouds
387,Koumac,NC,-20.5667,164.2833,75.63,53,47,9.84,scattered clouds
388,Beloha,MG,-25.1667,45.05,70.11,66,12,8.03,few clouds
389,Vila Velha,BR,-20.3297,-40.2925,73.35,78,75,8.05,broken clouds
390,Kruisfontein,ZA,-34.0033,24.7314,56.88,94,69,7.07,broken clouds
391,Shimoda,JP,34.6667,138.95,67.1,71,9,18.81,clear sky
392,Damietta,EG,31.4165,31.8133,75.29,67,15,7.74,few clouds
393,Luena,AO,-11.7833,19.9167,61.29,36,82,4.05,broken clouds
394,Odweyne,SO,9.4092,45.064,76.71,51,75,9.93,broken clouds
395,Magdagachi,RU,53.45,125.8,55.69,93,100,8.84,light rain
396,Pierre,US,44.3683,-100.351,88.0,36,1,1.01,clear sky
397,Monduli,TZ,-3.3,36.45,58.55,75,34,7.38,scattered clouds
398,Panaba,MX,21.2833,-88.2667,82.36,70,60,12.39,broken clouds
399,La Ronge,CA,55.1001,-105.2842,54.73,70,90,6.15,overcast clouds
400,Sault Sainte Marie,CA,46.5168,-84.3333,61.09,72,75,6.91,broken clouds
401,Neyshabur,IR,36.2133,58.7958,62.76,50,0,3.49,clear sky
402,Broken Hill,AU,-31.95,141.4333,63.77,23,61,11.07,broken clouds
403,Letterkenny,IE,54.95,-7.7333,49.28,95,100,3.09,overcast clouds
404,Sabang,ID,5.8933,95.3214,81.21,77,100,19.19,overcast clouds
405,Jalu,LY,29.0331,21.5482,70.21,64,0,8.84,clear sky
406,Radnevo,BG,42.3,25.9333,66.51,65,0,4.81,clear sky
407,Katav-Ivanovsk,RU,54.7531,58.1956,38.77,83,100,7.27,overcast clouds
